Sample,Season,Habitat,Altitude in Ft.,Wild boar,Rhesus Macaque,Grey Langur,Goat,Sheep,Hare,Squirrel,Barking deer,Cow,Dog,Nilgai,Plant,Unidentified
1,WI,CF,659.73,1,1,0,0,0,1,0,0,0,0,0,0,0
2,WI,RB,677.15,0,1,0,1,0,1,0,1,0,0,0,1,0
3,SP,GA,636.17,0,1,0,0,0,0,0,0,1,0,0,0,0
4,SP,SF,606.11,0,0,1,1,0,0,0,0,0,0,0,0,0
5,SU,CF,623.77,1,1,0,0,0,0,0,0,0,0,0,0,0
6,WI,CF,668.77,1,0,0,0,0,1,0,0,0,0,0,0,1
7,WI,MF,645.58,1,1,0,0,0,0,0,0,0,0,0,0,0
8,SU,CF,623.31,1,0,0,0,0,1,0,0,0,0,0,0,0
9,SU,CF,602.73,1,0,1,0,0,0,0,0,0,0,0,0,0
10,SP,SF,660.6,0,1,1,1,0,0,0,0,0,0,0,0,0
11,SP,RB,620.45,0,1,1,0,0,1,0,0,0,0,0,0,0
12,AU,MF,631.21,1,0,0,0,0,0,0,1,0,0,0,0,0
13,SP,CF,577.17,0,0,1,0,1,0,0,0,0,0,0,0,0
14,SU,CF,612.04,1,1,0,0,0,0,0,0,0,0,0,0,0
15,SP,RB,516.35,1,0,0,0,0,1,0,0,0,1,0,0,0
16,SU,SF,587.61,1,1,0,0,0,0,0,0,0,0,0,0,1
17,SU,CF,545.32,1,0,0,0,0,0,0,0,0,0,0,1,1
18,WI,SF,577.87,0,0,1,0,0,0,0,0,0,0,0,0,0
19,SU,SF,650.89,1,1,0,0,0,0,0,0,0,0,0,0,0
20,SU,CF,566.16,1,0,0,0,0,0,0,0,0,0,0,0,0
21,WI,CF,631.98,0,0,1,0,1,0,0,0,0,0,0,0,0
22,SP,CF,650.94,0,1,0,0,0,0,0,0,0,0,1,0,0
23,AU,CF,690.18,1,0,0,0,0,0,1,0,0,0,0,0,0
24,AU,MF,609.73,1,0,0,0,0,0,0,1,0,0,0,0,0
25,SP,RB,623.26,0,1,0,0,0,1,0,1,0,0,0,0,0
26,AU,CF,529.87,1,0,0,0,0,0,0,1,0,0,0,0,0
27,SU,SF,570.22,1,0,0,0,0,0,0,0,0,0,0,0,0
28,SU,MF,836.63,1,0,0,0,0,0,0,0,0,0,0,0,0
29,SP,CF,595.24,0,0,0,1,0,1,0,0,0,0,0,0,0
30,SP,SF,565.55,0,1,0,0,1,0,0,0,0,0,0,0,0
31,SU,CF,819.38,0,1,1,0,0,0,0,1,0,1,0,0,0
32,SU,MF,594.14,1,1,0,0,0,0,0,0,0,0,0,0,0
33,WI,CF,599.24,0,1,0,0,0,1,0,0,0,0,0,0,0
34,WI,SF,616.86,1,0,0,0,0,0,0,0,0,0,0,1,1
35,WI,MF,557.84,0,0,0,1,0,0,0,1,0,0,0,0,0
36,AU,MF,578.23,1,0,0,0,0,0,0,1,0,0,0,0,0
37,WI,MF,604.08,1,0,0,0,0,0,0,0,0,0,0,0,0
38,AU,MF,501.85,1,0,0,0,0,0,0,0,0,0,0,0,0
39,SP,MF,506.43,1,0,0,0,0,0,0,0,0,0,0,0,0
40,SP,RB,523.78,1,0,0,0,0,0,0,0,0,0,0,0,0
41,SP,RB,529.46,0,0,0,1,0,1,0,1,0,0,0,0,0
42,SP,RB,538.36,1,1,0,0,0,1,0,1,0,0,0,0,1
43,SU,RB,258.35,1,0,0,0,0,0,0,0,0,1,0,0,0
44,AU,CF,547.08,1,0,0,0,0,0,0,0,0,1,0,0,0
45,AU,RB,624.62,0,0,0,0,0,0,0,0,1,0,0,0,0
46,AU,RB,544.16,0,0,0,0,0,1,1,0,0,0,0,1,1
47,AU,RB,644.79,1,0,0,0,0,0,0,0,0,0,0,0,0
48,SP,CF,710.12,1,1,0,0,0,0,0,0,0,0,0,0,0
49,AU,CF,693.85,1,0,1,0,0,0,0,0,0,0,0,0,0
50,WI,RB,582.98,1,0,0,1,1,1,0,1,0,0,0,0,0
51,SU,CF,702.77,0,0,1,0,0,1,0,0,0,0,0,0,0
52,AU,CF,719.42,1,0,0,0,0,1,0,0,0,0,0,0,0
53,WI,RB,816.62,0,0,0,0,0,1,0,0,0,0,0,0,0
54,SU,RB,600.42,0,0,0,0,0,0,0,1,0,0,0,0,0
55,WI,CF,505.32,1,0,0,1,0,1,0,0,0,0,0,0,0
56,WI,RB,519.35,0,1,1,0,0,1,0,1,0,0,0,0,0
57,AU,RB,524.59,1,0,0,0,0,0,0,0,0,0,0,0,0
58,SP,CF,725.55,1,0,0,0,0,1,0,1,0,0,1,0,0
59,SU,RB,668.08,0,1,1,0,0,0,0,0,0,0,1,0,0
60,AU,CF,539.84,1,0,0,0,0,0,0,1,0,0,0,0,0
61,AU,CF,585.69,1,0,0,0,0,0,1,0,0,0,0,0,0
62,WI,GA,562.8,0,0,1,0,0,1,0,0,0,0,0,0,0
63,WI,GA,566.84,1,1,0,0,0,1,0,1,0,0,0,0,0
64,SP,GA,579.65,0,1,0,0,0,1,0,0,0,0,0,0,0
65,SU,RB,592.78,0,1,0,0,0,1,0,0,0,0,0,0,0
66,AU,CF,572.91,1,0,0,0,0,1,0,1,0,0,0,0,0
67,WI,GA,561.27,0,1,0,0,0,1,0,0,0,0,0,0,0
68,AU,CF,545.18,1,0,0,0,0,0,0,0,0,0,0,0,0
